"brood 33 juveniles, 4DPM, pH 7.6",,,,,,
,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
TRINITY_DN10620_c0_g1,0.822641364,-0.266905842,2.248213635,-0.118719075,0.905497924,1
TRINITY_DN10621_c0_g1,29.50026895,0.088209494,0.49844168,0.176970542,0.859531528,1
TRINITY_DN10622_c0_g1,1.677616579,-4.392336386,1.910983467,-2.298469067,0.021535107,1
TRINITY_DN10623_c0_g1,10.81199928,0.336510721,0.601500566,0.559452043,0.575853252,1
TRINITY_DN10624_c0_g1,0.195251186,0.674404579,4.080523814,0.165274021,0.868728306,1
TRINITY_DN10629_c0_g1,6.10645114,-0.261222453,0.911958585,-0.286441136,0.774540272,1
TRINITY_DN1062_c0_g1,6.208441693,-1.250341293,0.75695335,-1.651807595,0.09857378,1
TRINITY_DN10632_c0_g1,10.84135196,0.208485802,0.700002477,0.297835806,0.765828485,1
TRINITY_DN10634_c0_g1,34.50320436,-0.000910451,0.383251067,-0.002375599,0.998104548,1
TRINITY_DN10635_c0_g1,3.633249451,-0.438273763,1.070710524,-0.409329836,0.682297623,1
TRINITY_DN10638_c0_g1,3.273808255,-0.505814624,1.093421136,-0.462598177,0.643652416,1
TRINITY_DN1063_c0_g1,35.3365606,-0.327830178,0.432666402,-0.757697331,0.448632197,1
TRINITY_DN10640_c0_g1,3.929494798,-0.064259258,0.989116095,-0.064966346,0.948200796,1
TRINITY_DN10641_c0_g1,28.1424165,0.064540154,0.44046384,0.146527701,0.883504823,1
TRINITY_DN10642_c0_g1,2.303075257,0.672533488,1.420712154,0.473377725,0.635943719,1
TRINITY_DN10645_c0_g1,7.158189918,-0.398015257,0.752523622,-0.528907327,0.596869739,1
TRINITY_DN10647_c0_g1,8.621012234,-1.117180864,0.706474742,-1.581345797,0.113798994,1
TRINITY_DN10648_c0_g1,12.08225732,-0.290746197,0.564852768,-0.514729171,0.606742286,1
TRINITY_DN10649_c0_g1,18.70716133,0.043214703,0.50843778,0.084995066,0.932265313,1
TRINITY_DN10650_c0_g1,74.46510692,-0.049675693,0.374969126,-0.132479423,0.894605098,1
TRINITY_DN10651_c0_g1,17.73391406,-0.319101402,1.085693562,-0.293914796,0.768823012,1
TRINITY_DN10653_c0_g1,238.4233781,0.189178779,0.222213711,0.851337113,0.394582114,1
TRINITY_DN10655_c0_g1,134.9128525,-0.165803416,0.351911578,-0.471150784,0.637533062,1
TRINITY_DN10658_c0_g1,3.789563123,0.467849482,1.14421937,0.408880932,0.682627043,1
TRINITY_DN10659_c0_g1,2.952002078,0.634814267,1.079515719,0.588054677,0.556495593,1
TRINITY_DN10661_c0_g1,74.4813456,0.649944016,0.500766583,1.297898141,0.194322339,1
TRINITY_DN10662_c0_g1,132.8050137,-0.055842918,0.3205258,-0.174222849,0.861690329,1
TRINITY_DN10663_c0_g1,0.848950902,0.135551362,2.007688141,0.067516144,0.94617081,1
TRINITY_DN10664_c0_g1,5.028231734,0.447690213,0.841661563,0.53191239,0.594786676,1
TRINITY_DN10665_c0_g1,17.33136645,-0.530442312,0.683523538,-0.776041032,0.437724759,1
TRINITY_DN10669_c0_g1,18.44194664,-0.066553434,0.562002133,-0.118422031,0.905733271,1
TRINITY_DN10671_c0_g1,11.09833016,-0.255684138,0.634776317,-0.402794073,0.687099722,1
TRINITY_DN10672_c0_g1,12.00074651,-0.500210344,0.599785463,-0.833982107,0.404291067,1
TRINITY_DN10673_c0_g1,11.12815614,0.336235045,0.583600027,0.57613953,0.564520874,1
TRINITY_DN10676_c0_g1,52.91180735,-0.137593668,0.338058371,-0.407011568,0.683999492,1
TRINITY_DN10677_c0_g1,8.802833161,-0.591046278,0.770998918,-0.766598064,0.443320527,1
TRINITY_DN10679_c0_g1,0.944314664,1.196504148,2.01989609,0.592359257,0.553610043,1
TRINITY_DN1067_c0_g1,1.42558779,1.724095403,1.9047816,0.905140728,0.365390838,1
TRINITY_DN10681_c0_g1,51.9968492,0.351321213,0.442569,0.793822461,0.427298795,1
TRINITY_DN10684_c0_g1,6.621707513,-0.317776856,0.795964805,-0.399234808,0.689720198,1
TRINITY_DN1068_c0_g1,10.24927651,0.157912452,0.664380195,0.237683864,0.812126299,1
TRINITY_DN10690_c0_g1,27.71999493,-0.172160019,0.417742101,-0.412120345,0.680251217,1
TRINITY_DN10692_c0_g1,30.60830704,0.241083733,0.421888528,0.571439413,0.567701819,1
TRINITY_DN10693_c0_g1,11.74053908,0.137510873,0.653712259,0.210353823,0.83339153,1
TRINITY_DN10694_c0_g1,9.008024384,-0.630163283,0.966072847,-0.652293753,0.514211689,1
TRINITY_DN10695_c0_g1,57.12270469,0.135757976,0.416091908,0.326269205,0.744220685,1
TRINITY_DN10696_c0_g1,6.517039607,0.017052592,0.843300132,0.020221261,0.983866867,1
TRINITY_DN10697_c0_g1,1.49413183,0.196434221,1.646417369,0.1193101,0.905029682,1
TRINITY_DN10698_c0_g1,7.11346177,0.396108601,0.793766856,0.499023861,0.617762574,1
TRINITY_DN10699_c0_g1,38.64906851,0.36723116,0.469204579,0.782667468,0.433822411,1
TRINITY_DN1069_c0_g1,8.169578513,0.146113256,0.792116321,0.184459343,0.853653119,1
TRINITY_DN106_c0_g1,39.75937309,0.060965006,0.370779859,0.164423726,0.869397587,1
TRINITY_DN10700_c0_g1,2.169525674,0.950731154,1.348114447,0.705230298,0.480666929,1
TRINITY_DN10700_c1_g1,12.64514555,0.607832656,0.544236658,1.116853573,0.264056938,1
TRINITY_DN10701_c0_g1,5.877514347,-0.675998747,0.831236955,-0.813244338,0.416077983,1
TRINITY_DN10703_c0_g1,61.27175133,0.845117687,0.407382689,2.074505644,0.038032375,1
TRINITY_DN10704_c0_g1,5.278338276,1.46267266,0.942126898,1.552521919,0.120537392,1
TRINITY_DN10707_c0_g1,23.50458466,0.610380727,0.701745737,0.869803256,0.384407932,1
TRINITY_DN10709_c0_g1,2.830515822,0.339124858,1.117827178,0.303378612,0.761601343,1
TRINITY_DN10713_c0_g1,4.059835957,0.040125594,1.02437856,0.039170669,0.968754318,1
TRINITY_DN10714_c0_g1,6.419037754,0.414759396,0.85566005,0.484724508,0.627871779,1
TRINITY_DN10715_c0_g1,10.59362313,0.208646447,0.789077703,0.264418125,0.791457747,1
TRINITY_DN10716_c0_g1,2.215860888,-0.299258279,1.356768944,-0.22056687,0.8254297,1
TRINITY_DN10717_c0_g1,5.611792079,-0.68608021,0.82250781,-0.834132153,0.404206518,1
TRINITY_DN10718_c0_g1,13.03516332,0.537894986,0.580961467,0.925870331,0.354513372,1
TRINITY_DN1071_c0_g1,5.829844515,-0.324622969,0.807680014,-0.40192027,0.687742704,1
TRINITY_DN10720_c0_g1,30.91591359,0.035405642,0.439796007,0.080504693,0.935835864,1
TRINITY_DN10721_c0_g1,6.11696611,-0.037866719,0.809497673,-0.046778045,0.962690127,1
TRINITY_DN10723_c0_g1,3.104299696,-1.622195166,1.11874821,-1.450009173,0.147055961,1
TRINITY_DN10727_c0_g1,65.3432667,-0.019605869,0.318965616,-0.061467031,0.950987271,1
TRINITY_DN10728_c0_g1,58.75950306,0.048219879,0.369428724,0.130525529,0.896150658,1
TRINITY_DN10731_c0_g1,6.519624294,-0.35773782,0.812548664,-0.440266333,0.659744222,1
TRINITY_DN10732_c0_g1,2.502397918,0.148543193,1.331413462,0.111568042,0.911165913,1
TRINITY_DN10736_c0_g1,6.040727398,1.027367448,0.849806282,1.208943108,0.226684703,1
