brood 37 (48-h) mapped counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b37_0_8A.fastq.trim.sam.counts,b37_0_8B.fastq.trim.sam.counts,b37_0_8C.fastq.trim.sam.counts,b37_0_8D.fastq.trim.sam.counts,b37_10_7.5A.fastq.trim.sam.counts,b37_10_7.5B.fastq.trim.sam.counts,b37_10_7.5C.fastq.trim.sam.counts,b37_10_7.5D.fastq.trim.sam.counts,b37_10_8A.fastq.trim.sam.counts,b37_10_8B.fastq.trim.sam.counts,b37_10_8C.fastq.trim.sam.counts,b37_10_8D.fastq.trim.sam.counts,b37_24_7.5A.fastq.trim.sam.counts,b37_24_7.5B.fastq.trim.sam.counts,b37_24_7.5C.fastq.trim.sam.counts,b37_24_7.5D.fastq.trim.sam.counts,b37_24_8A.fastq.trim.sam.counts,b37_24_8B.fastq.trim.sam.counts,b37_24_8C.fastq.trim.sam.counts,b37_24_8D.fastq.trim.sam.counts,b37_48_7.5A.fastq.trim.sam.counts,b37_48_7.5B.fastq.trim.sam.counts,b37_48_7.5C.fastq.trim.sam.counts,b37_48_7.5D.fastq.trim.sam.counts,b37_48_8A.fastq.trim.sam.counts,b37_48_8B.fastq.trim.sam.counts,b37_48_8C.fastq.trim.sam.counts,b37_48_8D.fastq.trim.sam.counts,b37_4_7.5A.fastq.trim.sam.counts,b37_4_7.5B.fastq.trim.sam.counts,b37_4_7.5C.fastq.trim.sam.counts,b37_4_7.5D.fastq.trim.sam.counts,b37_4_8A.fastq.trim.sam.counts,b37_4_8B.fastq.trim.sam.counts,b37_4_8C.fastq.trim.sam.counts,b37_4_8D.fastq.trim.sam.counts
TRINITY_DN10079_c0_g1,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0
TRINITY_DN10081_c0_g1,0,1,1,0,1,1,1,0,0,2,2,4,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,1,2,3,1,2,2,0,0
TRINITY_DN10084_c0_g1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10085_c0_g1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,3,0,0,1,1,0,0,3,0,0,0
TRINITY_DN10086_c0_g1,7,9,11,4,27,6,19,0,7,12,15,18,16,0,15,1,9,20,9,40,92,73,9,15,24,26,10,9,8,23,8,8,30,1,0,0
TRINITY_DN10087_c0_g1,38,27,13,5,35,59,57,0,16,15,21,50,16,0,28,1,2,78,8,81,36,105,12,24,29,71,20,74,79,92,20,28,89,0,10,3
TRINITY_DN1008_c0_g1,28,38,30,10,28,36,66,1,17,9,13,47,24,1,31,3,28,55,16,95,55,103,15,19,36,97,29,56,54,124,35,30,83,3,8,0
TRINITY_DN10093_c0_g1,2754,2765,7124,1382,923,3971,4029,121,2626,632,580,4381,3643,274,3266,263,357,5577,210,7425,1291,12685,2486,1190,4549,6938,3213,4723,1531,5824,755,2350,5743,256,798,104
TRINITY_DN10094_c0_g1,3,1,1,0,2,2,6,0,0,0,0,0,1,0,3,0,1,2,2,0,1,5,0,1,3,2,1,3,1,3,0,1,4,0,0,0
TRINITY_DN10095_c0_g1,10,3,4,1,4,16,19,0,16,0,3,13,7,0,6,0,2,12,0,35,4,30,8,6,10,9,8,5,13,21,3,6,25,0,1,0
TRINITY_DN10098_c0_g1,2,2,3,1,2,0,2,0,0,1,3,7,0,0,0,0,5,3,1,6,7,7,2,0,1,6,2,1,1,7,3,2,2,0,2,0
TRINITY_DN10099_c0_g1,3,4,2,3,5,0,11,0,7,2,0,7,5,1,4,0,0,3,0,13,5,15,3,5,3,7,5,8,6,11,1,1,11,0,1,0
TRINITY_DN100_c0_g1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
TRINITY_DN10100_c0_g1,10,10,14,1,7,5,14,0,2,3,14,23,3,2,12,3,1,8,1,25,12,16,2,7,5,23,0,11,22,23,6,6,11,1,1,0
TRINITY_DN10103_c0_g1,52,59,61,10,8,73,49,0,15,4,2,59,25,0,33,3,6,41,9,80,12,137,8,27,41,92,24,74,21,101,15,53,98,0,7,0
TRINITY_DN10104_c0_g1,0,1,1,1,5,1,2,0,0,0,5,3,1,0,0,1,2,2,1,0,3,7,0,2,1,3,3,2,2,7,0,0,3,0,0,0
TRINITY_DN10108_c0_g1,0,2,1,0,1,2,6,0,4,1,0,0,1,0,0,0,0,3,0,5,2,12,1,1,1,4,0,1,4,9,2,0,8,0,0,0
TRINITY_DN10109_c0_g1,1,0,2,0,1,1,2,0,1,2,0,2,1,0,1,0,0,1,0,3,1,4,0,1,1,0,1,2,1,1,0,1,4,0,0,0
TRINITY_DN1010_c0_g1,12,13,13,4,11,20,28,0,14,6,3,19,7,0,11,0,1,19,1,29,40,72,3,6,4,48,14,39,11,26,5,8,31,0,2,0
TRINITY_DN10112_c0_g1,5,7,3,0,1,7,2,0,4,6,0,9,4,0,2,0,0,12,0,21,8,25,4,3,3,22,2,8,10,10,1,3,20,0,2,0
TRINITY_DN10113_c0_g1,3,1,0,0,0,11,3,0,3,0,3,5,2,0,3,0,1,3,0,9,4,11,1,6,3,2,1,3,12,5,0,5,5,0,2,0
TRINITY_DN10114_c0_g1,0,1,1,0,0,1,3,0,0,0,0,2,0,0,3,0,0,0,0,1,0,3,0,0,0,8,0,1,3,0,0,1,5,0,0,0
